,https://roic.ai/company/BX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,318123000,1094423000,503463000,5639278000,1120279000,8441200000,-1244705000,1937009000,3580107000,3209687000,3784684000,5662941000,6526378000,4197289000,4389138000,5911231000,6860991000,7421451000,5966307000,16652351000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,229037000,1773699000,3119342000,3252576000,- -,- -,- -,- -,- -,- -,- -,- -,6101927000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,-0.1840,0.9157,0.8713,1.0134,- -,- -,- -,- -,- -,- -,- -,- -,1.0227,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,37614000,67796000,- -,182605000,86534000,476117000,503807000,450869000,492572000,591820000,582567000,501100000,579961000,655602000,572490000,599103000,673359000,697146000,724646000,928223000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,37614000,67796000,- -,182605000,86534000,476117000,503807000,450869000,492572000,591820000,582567000,501100000,579961000,655602000,572490000,599103000,673359000,697146000,724646000,928223000
9,Other Expenses,- -,138570000,156294000,- -,179395000,429624000,2256647000,3859787000,3777606000,3610189000,2540609000,2187212000,2013280000,1959691000,1726939000,1434638000,1195027000,2674691000,2906290000,2624141000,2164732000
10,Operating Expenses,- -,176184000,224090000,- -,362000000,516158000,2732764000,4363594000,4228475000,4102761000,3132429000,2769779000,2514380000,2539652000,2382541000,2007128000,1794130000,3348050000,3603436000,3348787000,3092955000
11,COGS and Expenses,- -,176184000,224090000,- -,-155385000,516158000,2732764000,4363594000,4228475000,4102761000,3330245000,- -,- -,- -,- -,- -,- -,- -,- -,711782000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,22680000,36218000,37427000,1361966000,3166479000,4224815000,1705073000,2051858000,3478973000,171947000,182398000,125231000,160643000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,32080000,23008000,13384000,41229000,57824000,490902000,1331891000,1316204000,625627000,921446000,1529419000,163990000,199648000,166162000,198268000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,117607000,153237000,158048000,162051000,207591000,139174000,95671000,101915000,101437000,82943000,46776000,59021000,70999000,71053000,74871000
15,EBITDA,- -,48565000,953026000,1523314000,1342923000,2298140000,1798902000,-1027776000,-444629000,-82079000,442823000,1033697000,2854406000,3293881000,1627251000,2175986000,3790172000,2014189000,2272377000,1638592000,7314937000
16,EBITDA ratio,- -,0.1527,0.8708,3.0257,0.2381,2.0514,0.2131,0.8257,-0.2295,-0.0229,0.1380,0.2731,0.5041,0.5047,0.3877,0.4958,0.6412,0.2936,0.3062,0.2746,0.4393
17,Operating Income,- -,141939000,870333000,- -,- -,604121000,317384000,- -,- -,-1024648000,-135493000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,0.4462,0.7952,- -,- -,0.5393,0.0376,- -,- -,-0.2862,-0.0422,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-93374000,82693000,- -,-4451740000,1694019000,5391052000,-1473742000,163310000,501994000,212751000,- -,- -,- -,- -,- -,- -,- -,- -,-2772625000,- -
20,Income Before Tax,- -,48565000,953026000,- -,1342923000,2298140000,5708436000,-5608299000,-2291466000,-522654000,77258000,1014905000,3148561000,3986726000,1814748000,2382010000,4117101000,3512941000,3818015000,2617520000,13559396000
21,Income Before Tax Ratio,- -,0.1527,0.8708,- -,0.2381,2.0514,0.6763,4.5057,-1.1830,-0.1460,0.0241,0.2682,0.5560,0.6109,0.4324,0.5427,0.6965,0.5120,0.5145,0.4387,0.8143
22,Income Tax expense (Gain),- -,9119000,11949000,- -,12260000,31934000,25978000,-40989000,99230000,84669000,345711000,185023000,255642000,291173000,190398000,132362000,743147000,249390000,-47952000,356014000,1184401000
23,Net Income,- -,39446000,941077000,1523314000,1330663000,2266206000,1623237000,-1163032000,-715291000,-370028000,-168303000,218598000,1171202000,1584589000,709789000,1039235000,1470830000,1541788000,2049682000,1045363000,5857397000
24,Net Income ratio,- -,0.1240,0.8599,3.0257,0.2360,2.0229,0.1923,0.9344,-0.3693,-0.1034,-0.0524,0.0578,0.2068,0.2428,0.1691,0.2368,0.2488,0.2247,0.2762,0.1752,0.3517
25,EPS,- -,0.21,4.97,8.28,7.24,12.33,6.25,-4.38,-2.46,-1.02,-0.35,0.41,2.00,2.60,1.12,1.60,2.21,2.27,3.03,1.50,8.37
26,EPS Diluted,- -,0.21,4.97,8.28,7.24,12.33,6.25,-4.38,-2.46,-1.02,-0.35,0.41,1.98,2.58,1.04,1.56,2.21,2.26,3.03,1.50,8.37
27,Weighted Average Shares Outstanding,- -,189208003,189208003,183868331,183868331,183868331,189208003,265547930,290768699,364021369,475582718,533703606,587018828,608803111,634337179,649475264,665453198,678850245,675900466,696933548,726445206
28,Weighted Average Shares Outstanding Diluted,- -,189208003,189208003,183868331,183868331,183868331,189208003,265547930,290768699,364021369,475582718,538669070,590546640,613176405,1188085411,1195114590,666246846,1206962846,676167851,697258296,726445206
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393818/000119312508053079/0001193125-08-053079-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312509042585/0001193125-09-042585-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312510042888/0001193125-10-042888-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312511047389/0001193125-11-047389-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312512085636/0001193125-12-085636-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312513087702/0001193125-13-087702-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312514077145/0001193125-14-077145-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312515069653/0001193125-15-069653-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312516481948/0001193125-16-481948-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312517056300/0001193125-17-056300-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312518067079/0001193125-18-067079-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312519061011/0001193125-19-061011-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312521060361/0001193125-21-060361-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312522054433/0001193125-22-054433-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,129443000,868629000,503737000,952096000,588621000,754744000,709502000,831998000,1412472000,1837324000,1837253000,1992497000,2207841000,2172441000,1999484000,2119738000
32,Short-Term Investments,- -,- -,- -,- -,20287019000,31544490000,163696000,2830942000,3565483000,11974472000,15128299000,- -,- -,- -,- -,- -,- -,- -,- -,- -,28665043000
33,Cash and Short-Term Investments,- -,- -,- -,- -,20287019000,31673933000,1032325000,3334679000,4517579000,12563093000,15883043000,709502000,831998000,1412472000,1837324000,1837253000,1992497000,2207841000,2172441000,1999484000,30784781000
34,Net Receivables,- -,- -,- -,- -,- -,1311586000,1881190000,1222007000,1066214000,1291288000,1266654000,1758231000,2080400000,1687729000,1853950000,2215073000,2916146000,2630361000,3569948000,4087673000,636616000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,-1831800000,909240000,-673823000,971824000,864247000,-1120067000,-978160000,-1128408000,-1240797000,-1442378000,-2028984000,-1994123000,-2594873000,-5156027000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,1081715000,5465926000,4909970000,14826205000,18013944000,1347666000,1934238000,1971793000,2450477000,2609948000,2879659000,2844079000,3147516000,931130000,31421397000
38,PP&E,- -,- -,- -,- -,- -,- -,64370000,118966000,117415000,144881000,149690000,142390000,137088000,135740000,135543000,126784000,126566000,120372000,625541000,758750000,788991000
39,Goodwill,- -,- -,- -,- -,- -,- -,1597474000,1703602000,1703602000,1703602000,1703602000,1703602000,1787392000,1787392000,1718519000,1718519000,1778192000,1869860000,1869860000,1901485000,1890202000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,604681000,1077526000,919477000,779311000,595488000,598535000,560748000,458833000,345547000,262604000,409828000,468507000,397508000,347955000,284384000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,2202155000,2781128000,2623079000,2482913000,2299090000,2302137000,2348140000,2246225000,2064066000,1981123000,2188020000,2338367000,2267368000,2249440000,2174586000
42,Investments,- -,- -,- -,- -,- -,31544490000,7145156000,2830942000,3565483000,11974472000,15128299000,20847270000,21739866000,22862613000,14328716000,17698368000,24438492000,20421949000,22336078000,15743164000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,777310000,845423000,943512000,1242293000,1258699000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1581637000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-7986836000,-2784474000,-2750435000,-11826159000,-14940593000,4044071000,3519274000,4294523000,3342385000,3868619000,4796173000,3199883000,-18072679000,-16501914000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,2202155000,3791985000,4499054000,4018400000,3895185000,27335868000,27744368000,29539101000,19870710000,23674894000,31549251000,26080571000,7156308000,2249440000,4545214000
46,Other Assets,- -,10348829000,14937386000,21253939000,21121124000,33891044000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14320225000
47,Total Assets,- -,10348829000,14937386000,21253939000,21121124000,33891044000,3283870000,9257911000,9409024000,18844605000,21909129000,28683534000,29678606000,31510894000,22321187000,26284842000,34428910000,28924650000,10303824000,3180570000,41196408000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,250445000,173436000,308857000,691807000,828873000,1038888000,872086000,1194579000,648662000,1081782000,2043522000,875979000,806159000,717104000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1196858000,- -,657623000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,7369697000,1699036000,1241388000,2583855000,2714728000,9375112000,12032914000,14318421000,9490883000,9994147000,10922468000,11717585000,13688840000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,8817000000,1872472000,2207868000,3275662000,3543601000,10414000000,12905000000,15513000000,10139545000,11075929000,12965990000,12593564000,14494999000,717104000,- -
54,Long-Term Debt,- -,- -,- -,- -,837627000,-263954000,130389000,1490423000,657623000,7198898000,8867568000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-389000,894000,526311000,116688000,245674000,13051000000,10467000000,8938000000,6116747000,8866366000,14815436000,9951862000,11080723000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,837627000,-263954000,130000000,1491317000,1183934000,7315586000,9113242000,13051000000,10467000000,8938000000,6116747000,8866366000,14815436000,9951862000,11080723000,- -,- -
59,Other Liabilities,- -,9935071000,13856783000,19317508000,2920398000,2109317000,260355000,- -,- -,15232008000,18812090000,- -,- -,- -,- -,- -,- -,- -,- -,11026800000,19490362000
60,Capital Lease Obligations,- -,- -,- -,- -,1132080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,9935071000,13856783000,19317508000,2082771000,2373271000,8947355000,3363789000,3391802000,11192084000,13242449000,19272790000,17251377000,16619201000,10479082000,14073794000,20910299000,15312343000,17570105000,11743904000,19490362000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1818749000,- -,4226500000,3509448000,3376707000,4358794000,4668705000,5464677000,6303300000,7081131000,6322307000,6523929000,6670365000,6415700000,7000,7000,7000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,470583000,386864000,- -,- -,- -,- -,- -,- -,- -,609625000,335762000,3647785000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,10000000,- -,-291000,2420000,4302000,1958000,2000000,3000000,-21000000,-53000000,-63000000,-34000000,-36000000,-28000000,-15831000,-19626000
66,Other Total Stockholders Equity,- -,- -,- -,- -,6196000,- -,345000,- -,- -,-470583000,-386864000,170000,466000,136000,481000,113000,-18000,-476000,6428152000,6332105000,18009852000
67,Total Stockholders Equity,- -,- -,- -,- -,1824945000,- -,4226845000,3509157000,3379127000,4363096000,4670663000,5466847000,6306766000,7060267000,6269788000,6461042000,6636347000,6379224000,7009784000,6652043000,21638018000
68,Total Liabilities And Stockholders Equity,- -,9935071000,13856783000,19317508000,3907716000,2373271000,13174200000,6872946000,6770929000,15555180000,17913112000,24739637000,23558143000,23679468000,16748870000,20534836000,27546646000,21691567000,24579889000,18395947000,41128380000
69,Minority Interest,- -,413758000,1080603000,1936431000,17213408000,31517773000,-9890330000,2384965000,2638095000,3289425000,3996017000,3943897000,6120463000,7831426000,5572317000,5750006000,6882264000,7233083000,-14276065000,-15215377000,68028000
70,Total Liabilities & Equity,- -,10348829000,14937386000,21253939000,21121124000,33891044000,3283870000,9257911000,9409024000,18844605000,21909129000,28683534000,29678606000,31510894000,22321187000,26284842000,34428910000,28924650000,10303824000,3180570000,41196408000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393818/000119312508053079/0001193125-08-053079-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312509042585/0001193125-09-042585-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312510042888/0001193125-10-042888-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312511047389/0001193125-11-047389-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312512085636/0001193125-12-085636-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312513087702/0001193125-13-087702-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312514077145/0001193125-14-077145-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312515069653/0001193125-15-069653-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312516481948/0001193125-16-481948-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312517056300/0001193125-17-056300-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312518067079/0001193125-18-067079-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312519061011/0001193125-19-061011-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312521060361/0001193125-21-060361-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312522054433/0001193125-22-054433-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1330663000,2266206000,1623237000,-1163032000,-715291000,-370028000,-168303000,218598000,1171202000,1584589000,709789000,1039235000,1470830000,1541788000,2049682000,1045363000,5857397000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,117607000,153237000,158048000,162051000,207591000,139174000,95671000,101915000,101437000,82943000,46776000,59021000,70999000,71053000,74871000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,3302617000,3048108000,2440148000,1396062000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6159529000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-7735285000,11328739000,-891352000,8848441000,2919800000,-23536677000,-1904428000,-2570445000,5852139000,-776913000,-1620350000,336846000,-1597998000,11561509000,31207371000
78,Accounts Receivable,- -,- -,- -,- -,62873000,-1374260000,-1339956000,45281000,35050000,-108162000,116714000,- -,- -,- -,- -,- -,- -,- -,- -,- -,288306000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-67012000,219580000,1151374000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152209000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-7735285000,3593454000,2702102000,11550543000,14470343000,-9066334000,-10970762000,-13541207000,-7689068000,-8465981000,-10086331000,-9749485000,-11347483000,214026000,31421397000
82,Other Non-Cash Items,- -,- -,- -,- -,1378595000,-6662820000,5144145000,-11731126000,-1188004000,-11452497000,-3255537000,23762060000,4185496000,2538930000,-4266322000,-886551000,-2345996000,-1891913000,1440424000,-10741980000,-39313180000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,2709258000,-4396614000,-850296000,1890435000,411509000,-371885000,1099613000,583155000,3547941000,1654989000,2397043000,-541286000,-2448740000,45742000,1963107000,1935945000,3985988000
84,CAPEX,- -,- -,- -,- -,-7353000,-24190000,-32307000,-50113000,-23627000,-54160000,-36484000,-37020000,-25637000,-30271000,-59247000,-21826000,-24347000,-18377000,-60280000,-111650000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-336571000,- -,-21886000,-23744000,-188306000,-146117000,- -,- -,- -,-168913000,-98219000,- -,-55170000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22418000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11971409000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-23292000,5004000,4801000,-143000,330000,2345000,5850000,5846000,5843000,-7150000,5052000,- -,- -,- -,-12013307000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-7353000,-24190000,-55599000,-381680000,-18826000,-76189000,-59898000,-222981000,-165904000,-24425000,-53404000,-28976000,-188208000,-116596000,-60280000,-166820000,-64316000
90,Debt Repayment,- -,- -,- -,- -,-2936728000,-7499857000,-5497113000,-980162000,-323993000,-246292000,-1064605000,-932148000,-2107451000,-1817284000,-517629000,-420714000,-1766129000,-1009354000,-403401000,-1889000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,7501240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-16045000,-31863000,-56685000,-25154000,-36711000,-22364000,-24140000,-36252000,-61031000,-27623000,-30192000,-567161000,-585340000,-504912000,-1272774000
93,Dividends Paid,- -,- -,- -,- -,- -,-1551957000,-78794000,-319897000,-260629000,-599390000,-702832000,-614530000,-1469479000,-2348596000,-3497346000,-2018669000,-2842582000,-3046404000,-2396744000,-2385576000,- -
94,Other Financing Activites,- -,- -,- -,- -,198378000,13515129000,-264846000,-541725000,696983000,955460000,930633000,1163631000,341456000,3152225000,2156604000,3037176000,7410242000,3292733000,1464106000,648341000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2738350000,4463315000,1644442000,-1873647000,55676000,84624000,-873515000,-405411000,-3259614000,-1049907000,-1919402000,570170000,2771339000,-1330186000,-1921379000,-2244036000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2832000,518000,639000,- -,- -,-25000,-77000,-5000,73000,-183000,615000,21000,20853000,9712000,-2958000,15716000,- -
97,Net Change In Cash,- -,- -,- -,- -,-39277000,43029000,739186000,-364892000,448359000,-363475000,166123000,-45242000,122496000,580474000,424852000,-71000,155244000,-1391328000,-21510000,-459195000,- -
98,Cash at the End of Period,- -,- -,- -,- -,86414000,129443000,868629000,503737000,952096000,588621000,754744000,709502000,831998000,1412472000,1837324000,1837253000,1992497000,2545161000,2523651000,2064456000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,125691000,86414000,129443000,868629000,503737000,952096000,588621000,754744000,709502000,831998000,1412472000,1837324000,1837253000,3936489000,2545161000,2523651000,- -
100,Free Cash Flow,- -,- -,- -,- -,2701905000,-4420804000,-882603000,1840322000,387882000,-426045000,1063129000,546135000,3522304000,1624718000,2337796000,-563112000,-2473087000,27365000,1902827000,1824295000,3985988000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1393818/000119312508053079/0001193125-08-053079-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312509042585/0001193125-09-042585-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312510042888/0001193125-10-042888-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312511047389/0001193125-11-047389-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312512085636/0001193125-12-085636-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312513087702/0001193125-13-087702-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312514077145/0001193125-14-077145-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312515069653/0001193125-15-069653-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312516481948/0001193125-16-481948-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312517056300/0001193125-17-056300-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312518067079/0001193125-18-067079-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312519061011/0001193125-19-061011-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312520056733/0001193125-20-056733-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312521060361/0001193125-21-060361-index.htm,https://www.sec.gov/Archives/edgar/data/1393818/000119312522054433/0001193125-22-054433-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
