,https://roic.ai/company/ISLE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,1001000,1125352000,1118000,999000,1005000,977371000,965199000,954600000,996278000,978592000,- -,- -,- -,- -,- -
2,COGS,162000,182019000,193000,179000,179000,169000,175000,179421000,188000,180000,- -,- -,- -,- -,- -
3,Gross Profit,839000,943333000,925000,820000,826000,977202000,965024000,775179000,996090000,978412000,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.8382,0.8383,0.8274,0.8208,0.8219,0.9998,0.9998,0.8120,0.9998,0.9998,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,234236000,235910000,- -,234237000,219859000,- -,- -,- -,- -,836518
7,Selling and Marketing Exp.,323000,290591000,263000,253000,253000,234000,236000,234690000,234000,220000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",323000,290591000,263000,253000,253000,234470000,236146000,234690000,234471000,220079000,- -,- -,- -,- -,836518
9,Other Expenses,612000,870841000,724000,682000,656000,658518000,680100000,787475000,658000000,635366000,- -,- -,- -,- -,- -
10,Operating Expenses,935000,1161432000,987000,935000,909000,892988000,916246000,1022165000,892471000,855445000,- -,- -,- -,- -,836518
11,COGS and Expenses,1097000,1343451000,1180000,1114000,1088000,892988000,916246000,1022165000,892471000,855445000,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60533
13,Interest Expense (Gain),89000,109286000,92000,75000,91000,87905000,89461000,81342000,84131000,68025000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,99506000,136127000,127222000,109504000,89040000,89809000,81100000,86951000,83919000,86242000,- -,- -,- -,- -,- -
15,EBITDA,99590000,213359000,127318000,109570000,89135000,63080000,129724000,22113000,174338000,204649000,- -,- -,- -,- -,-836518
16,EBITDA ratio,99.4905,0.1896,113.8801,109.6797,88.6915,0.0645,0.1344,0.0232,0.1750,0.2091,- -,- -,- -,- -,-Infinity
17,Operating Income,65000,-36080000,131000,64000,95000,84383000,48953000,-67565000,103807000,123147000,- -,- -,- -,- -,-836518
18,Operating Income ratio,0.0649,-0.0321,0.1172,0.0641,0.0945,0.0863,0.0507,-0.0708,0.1042,0.1258,- -,- -,- -,- -,-Infinity
19,Total Other Income Expenses (Gains),-80000,-120746000,-32000,-73000,-91000,-86647000,-88211000,-80595000,-97519000,-70680000,- -,- -,- -,- -,5677372
20,Income Before Tax,-15000,-156826000,99000,-9000,4000,-2264000,-39258000,-148160000,6288000,52467000,- -,- -,- -,- -,4840854
21,Income Before Tax Ratio,-0.0150,-0.1394,0.0886,-0.0090,0.0040,-0.0023,-0.0407,-0.1552,0.0063,0.0536,- -,- -,- -,- -,Infinity
22,Income Tax expense (Gain),-1000,64820000,-39000,8000,-3000,15119000,6732000,-18494000,1111000,4178000,- -,- -,- -,- -,- -
23,Net Income,-4000,-96874000,43000,-17000,7000,-129753000,-47569000,-127686000,5177000,46204000,- -,- -,- -,- -,4840854
24,Net Income ratio,-0.0040,-0.0861,0.0385,-0.0170,0.0070,-0.1328,-0.0493,-0.1338,0.0052,0.0472,- -,- -,- -,- -,Infinity
25,EPS,-0.00,-3.16,0.00,-0.00,0.00,-3.35,-1.21,-3.21,0.13,1.14,- -,- -,- -,- -,0.12
26,EPS Diluted,-0.00,-3.16,0.00,-0.00,0.00,-3.35,-1.21,-3.21,0.13,1.12,- -,- -,- -,- -,0.12
27,Weighted Average Shares Outstanding,30379000,30699457,32179233,32179233,32720532,38753098,39340325,39731766,39955735,40690929,- -,- -,- -,- -,40690929
28,Weighted Average Shares Outstanding Diluted,30379000,30699457,32179233,32179233,32720532,38753098,39340325,39731766,40320267,41323473,- -,- -,- -,- -,41323473
29,SEC Link,https://www.sec.gov/Archives/edgar/data/863015/000119312507165728/0001193125-07-165728-index.htm,https://www.sec.gov/Archives/edgar/data/863015/000110465908045272/0001104659-08-045272-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746909006505/0001047469-09-006505-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746910005819/0001047469-10-005819-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746911005892/0001047469-11-005892-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746912006640/0001047469-12-006640-index.htm,https://www.sec.gov/Archives/edgar/data/863015/000104746913007339/0001047469-13-007339-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746914005795/0001047469-14-005795-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746915005507/0001047469-15-005507-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746916013928/0001047469-16-013928-index.html,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1837997/000119312522088052/0001193125-22-088052-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,188114000,91790000,96654000,68069000,75178000,94461000,68469000,69830000,66437000,62126000,- -,- -,- -,- -,466
32,Short-Term Investments,17169000,18533000,17548000,22926000,22173000,24943000,25520000,27289000,19517000,19338000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,205283000,110323000,114202000,90995000,97351000,119404000,93989000,97119000,85954000,81464000,- -,- -,- -,- -,466
34,Net Receivables,22527000,12195000,10421000,8879000,9601000,6941000,11077000,12615000,11171000,13252000,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,6647000,6305000,- -,- -,- -,- -,- -
36,Other Current Assets,92528000,76863000,52970000,50030000,41407000,75938000,27234000,22705000,15900000,11874000,- -,- -,- -,- -,-206201
37,Total Current Assets,320338000,199381000,177593000,149904000,148359000,202283000,132300000,132439000,119672000,112895000,- -,- -,- -,- -,860
38,PP&E,1338570000,1328986000,1177540000,1098942000,1113549000,950014000,1034026000,955604000,912036000,899167000,- -,- -,- -,- -,- -
39,Goodwill,297268000,307649000,313136000,313136000,345303000,330903000,280803000,108970000,108970000,108970000,- -,- -,- -,- -,- -
40,Intangible Assets,74154000,89252000,83588000,79675000,82207000,56586000,60748000,54911000,54073000,53236000,- -,- -,- -,- -,- -
41,Intangible Assets,371422000,396901000,396724000,392811000,427510000,387489000,341551000,163881000,163043000,162206000,- -,- -,- -,- -,- -
42,Investments,17169000,18533000,17548000,22926000,22173000,24943000,25520000,27289000,19517000,19338000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,627000,1573000,4106000,4626000,1144000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,9614000,18629000,6755000,8868000,10399000,- -,- -,- -,77251,207107
45,Total Non-Current Assets,1727161000,1744420000,1591812000,1514679000,1563232000,1372687000,1421299000,1157635000,1108090000,1092254000,- -,- -,- -,77251,207107
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2047499000,1943801000,1769405000,1664583000,1711591000,1574970000,1553599000,1290074000,1227762000,1205149000,- -,- -,- -,77251,207967
48,Accounts Payable,60460000,29283000,16246000,24072000,26013000,23536000,34533000,20869000,19690000,29723000,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,5393000,415000,230000,170000,80000,- -,- -,- -,31000,- -
50,Tax Payable,- -,- -,- -,- -,- -,19522000,21340000,20360000,125000,123000,- -,- -,- -,- -,- -
51,Deferred Revenue,12421000,12606000,16295000,16826000,12097000,627000,1573000,4106000,4626000,1144000,- -,- -,- -,- -,- -
52,Other Current Liabilities,162860000,141548000,135452000,116257000,115768000,126560000,119278000,102658000,109125000,106600000,- -,- -,- -,22670,277
53,Total Current Liabilities,235741000,183437000,167993000,157155000,153878000,156116000,155799000,127863000,133611000,137547000,- -,- -,- -,53670,277
54,Long-Term Debt,7594000,9698000,9688000,8754000,5373000,1149038000,1156469000,1066071000,992712000,922613000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,36057000,43104000,35870000,37334000,37902000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,30817000,52305000,17314000,17166000,16694000,16556000,22514000,22391000,22211000,13912000,- -,- -,- -,- -,8313
58,Total Non-Current Liabilities,38411000,62003000,27002000,25920000,22067000,1201651000,1222087000,1124332000,1052257000,974427000,- -,- -,- -,- -,8313
59,Other Liabilities,1878361000,1852732000,1641671000,1543605000,1602077000,2436885000,2477477000,2267159000,2122946000,1966411000,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2075691000,1974166000,1782662000,1674840000,1733888000,1391350000,1411189000,1270690000,1204300000,1129531000,- -,- -,- -,53670,8590
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,347000,353000,361000,- -,421000,421000,421000,421000,421000,421000,- -,- -,- -,518,207000
64,Retained Earnings,155127000,58253000,101828000,98555000,103095000,-26658000,-74227000,-201913000,-199072000,-152868000,- -,- -,- -,-1419,-7624
65,Other Comprehensive Income/Loss,3358000,-5601000,-15191000,-8060000,-2235000,-855000,-247000,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,122990000,135007000,141428000,149724000,207747000,210712000,216463000,220876000,222113000,228065000,- -,- -,- -,24482,- -
67,Total Stockholders Equity,281822000,188012000,228426000,240219000,309028000,183620000,142410000,19384000,23462000,75618000,- -,- -,- -,23581,-7623
68,Total Liabilities And Stockholders Equity,2357513000,2162178000,2011088000,1915059000,2042916000,1574970000,1553599000,1290074000,1227762000,1205149000,- -,- -,- -,77251,967
69,Minority Interest,-310014000,-218377000,-241683000,-250476000,-331325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000
70,Total Liabilities & Equity,2047499000,1943801000,1769405000,1664583000,1711591000,1574970000,1553599000,1290074000,1227762000,1205149000,- -,- -,- -,77251,207967
71,SEC Link,https://www.sec.gov/Archives/edgar/data/863015/000119312507165728/0001193125-07-165728-index.htm,https://www.sec.gov/Archives/edgar/data/863015/000110465908045272/0001104659-08-045272-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746909006505/0001047469-09-006505-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746910005819/0001047469-10-005819-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746911005892/0001047469-11-005892-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746912006640/0001047469-12-006640-index.htm,https://www.sec.gov/Archives/edgar/data/863015/000104746913007339/0001047469-13-007339-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746914005795/0001047469-14-005795-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746915005507/0001047469-15-005507-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746916013928/0001047469-16-013928-index.html,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1837997/000119312522088052/0001193125-22-088052-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-4000,-96874000,43000,-17000,7000,-129753000,-47569000,-127686000,5177000,46204000,- -,- -,- -,- -,4840854
74,Depreciation and Amortization,99506000,136127000,127222000,109504000,89040000,89809000,81100000,86951000,83919000,86242000,- -,- -,- -,- -,- -
75,Deferred Income Tax,-12374000,-35194000,32751000,-455000,2508000,-11176000,-5727000,11142000,-944000,-4050000,- -,- -,- -,- -,- -
76,Stock Based Compensation,7231000,7312000,7125000,7633000,7595000,7710000,5093000,4413000,3413000,5083000,- -,- -,- -,- -,- -
77,Change in Working Capital,-68653000,-6344000,-16851000,1732000,51686000,-69666000,28075000,-18515000,-10713000,24598330,- -,- -,- -,- -,54252
78,Accounts Receivable,-4797000,10276000,1548000,3274000,-460000,2012000,-3567000,-1537000,1444000,-1539000,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3075000,-10410000,-19011000,-8575000,1066000,-5805000,20191000,-16760000,-1198000,-4885000,- -,- -,- -,- -,- -
81,Other Working Capital,15944000,9600000,-7251000,-5519000,46167000,-23499000,4576000,-13939000,-24652000,-53670,- -,- -,- -,- -,582
82,Other Non-Cash Items,48280000,128330000,40320000,-12015000,-27175000,231135000,55070000,130444000,44716000,-22165330,- -,- -,- -,- -,-4895106
83,Cash Provided by Operating Activities,73986000,133357000,190610000,106382000,123661000,118059000,116042000,86749000,125568000,135912000,- -,- -,- -,- -,- -
84,CAPEX,-451422000,-190459000,-58579000,-27690000,-58600000,-75177000,-153192000,-38149000,-41686000,-70262000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,-107895000,- -,- -,-76167000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,558000,-1364000,985000,-5378000,753000,-2769000,-578000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,250502000,-2728000,29727000,2078000,-10623000,17897000,30321000,44260000,413000,11071000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-200362000,-302446000,-27867000,-30990000,-144637000,-60049000,-123449000,6111000,-41273000,-59191000,- -,- -,- -,- -,- -
90,Debt Repayment,-7089000,-697108000,-127457000,-8730000,-317586000,-366000,-21486000,-673000,-2536000,-209000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,51227000,13000,668000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-94461000,-68469000,-69830000,-66437000,-62126000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,200627000,769622000,-29726000,-95228000,294492000,56087000,70702000,-20996000,-18715000,-18697000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,193538000,72514000,-157183000,-103958000,28133000,-38727000,-18585000,-91499000,-87688000,-81032000,- -,- -,- -,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,67065000,-96324000,4864000,-28585000,7109000,19283000,-25992000,1361000,-3393000,-4311000,- -,- -,- -,- -,- -
98,Cash at the End of Period,188114000,91790000,96654000,68069000,75178000,94461000,68469000,69830000,66437000,62126000,- -,- -,- -,- -,- -
99,Cash at the Beginning of Period,121049000,188114000,91790000,96654000,68069000,75178000,94461000,68469000,69830000,66437000,- -,- -,- -,- -,62126000
100,Free Cash Flow,-377436000,-57102000,132031000,78692000,65061000,42882000,-37150000,48600000,83882000,65650000,- -,- -,- -,- -,- -
101,SEC Link,https://www.sec.gov/Archives/edgar/data/863015/000119312507165728/0001193125-07-165728-index.htm,https://www.sec.gov/Archives/edgar/data/863015/000110465908045272/0001104659-08-045272-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746909006505/0001047469-09-006505-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746910005819/0001047469-10-005819-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746911005892/0001047469-11-005892-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746912006640/0001047469-12-006640-index.htm,https://www.sec.gov/Archives/edgar/data/863015/000104746913007339/0001047469-13-007339-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746914005795/0001047469-14-005795-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746915005507/0001047469-15-005507-index.html,https://www.sec.gov/Archives/edgar/data/863015/000104746916013928/0001047469-16-013928-index.html,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1837997/000119312522088052/0001193125-22-088052-index.htm
102,false,,,,,,,,,,,,,,,
