,https://roic.ai/company/MCRI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,4100000,10300000,10000000,8900000,10000000,8400000,20884318,21497650,20405714,20652659,21174735,13666074,16057851,18485977,22041497,27291636,21086635,24293839,23291575,26172165,26842956,29050000,70927000,35120000,39413000,59445000,79465000,109444000,141178000
54,Long-Term Debt,15500000,41400000,39100000,37600000,32900000,52300000,82235509,73480788,64236548,52000000,41125000,32400000,8100000,- -,- -,47500000,47500000,28600000,24680000,81100000,53800000,46300000,- -,26200000,26200000,94500000,175415000,167162000,81650000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,700000,500000,1600000,1800000,2200000,2200000,2666017,4583708,4990829,4526744,4854587,6509505,5953193,4248614,2825433,2115371,4695657,3384218,1112049,- -,- -,- -,- -,- -,- -,- -,- -,13220000,19617000
57,Other Non-Current Liabilities,- -,-100000,- -,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,873872,- -,- -,- -,- -,- -,- -,- -,- -,14797000,13984000,- -
58,Total Non-Current Liabilities,16200000,41800000,40700000,39500000,35100000,54600000,84901526,78064496,69227377,56526744,45979587,38909505,14053193,4248614,2825433,49615371,52195657,32858090,25792049,81100000,53800000,46300000,- -,26200000,26200000,94500000,190212000,194366000,101267000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15588000,14797000,14243000
61,Total Liabilities,20300000,52100000,50700000,48400000,45100000,63000000,105785844,99562146,89633091,77179403,67154322,52575579,30111044,22734591,24866930,76907007,73282292,57151929,49083624,107272165,80642956,75350000,70927000,61320000,65613000,153945000,269677000,303810000,242445000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,95363,95363,95363,95363,95363,95363,190726,190726,190963,190963,190963,190963,190963,190963,190963,191000,191000,191000,191000,191000,191000,191000,191000
64,Retained Earnings,500000,-200000,1300000,2200000,5700000,9100000,8861305,9821386,14423150,23026496,32632419,49158859,70194319,92274690,116754908,126295876,131137355,139373616,145688335,154599183,172560005,186745000,207404000,231978000,257516000,286756000,318572000,342250000,410738000
65,Other Comprehensive Income/Loss,-5000000,-7700000,-11700000,-15300000,-17900000,-22100000,-27964180,-37816876,-47164026,-55985653,-63618047,-68791045,-76117346,- -,-92215149,-101825190,-113538145,-125437458,-138227868,-152868719,-166992754,-167498000,-180792000,-184503000,-197638000,-206657000,-220021000,- -,- -
66,Other Total Stockholders Equity,22100000,24800000,28800000,32100000,34900000,39500000,44876093,54728789,64075939,73164478,79613068,85300165,93291296,- -,104688216,80932840,94714249,108454488,122864550,138926363,158122072,157513000,177116000,186179000,206405000,220892000,242459000,25626000,37085000
67,Total Stockholders Equity,17600000,16900000,18400000,19000000,22700000,26500000,25868581,26828662,31430426,40300684,48722803,65763342,87558995,115646316,129418938,105594489,112504422,122581609,130515980,140847790,163880286,176951000,203919000,233845000,266474000,301182000,341201000,368067000,448014000
68,Total Liabilities And Stockholders Equity,37900000,69000000,69100000,67400000,67800000,89500000,131654425,126390808,121063517,117480087,115877125,118338921,117670039,138380907,154285868,182501496,185786714,179733538,179599604,248119955,244523242,252301000,274846000,295165000,332087000,455127000,610878000,671877000,690459000
69,Minority Interest,- -,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-219,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,37900000,69300000,69300000,67400000,67800000,89500000,131654425,126390808,121063517,117480087,115877125,118338921,117670039,138380907,154285868,182501496,185786714,179733538,179599604,248119955,244523023,252301000,274846000,295165000,332087000,455127000,610878000,671877000,690459000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/907242/000090724208000010/0000907242-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465909017808/0001104659-09-017808-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465910014318/0001104659-10-014318-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465911014476/0001104659-11-014476-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465912018162/0001104659-12-018162-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465913021105/0001104659-13-021105-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465914019644/0001104659-14-019644-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465915019514/0001104659-15-019514-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465916104448/0001104659-16-104448-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837017001767/0001558370-17-001767-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837018002048/0001558370-18-002048-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837019002010/0001558370-19-002010-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837020002525/0001558370-20-002525-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837021002943/0001558370-21-002943-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837022002306/0001558370-22-002306-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,500000,-700000,1600000,800000,3500000,3800000,-584865,960081,4601764,8603346,9605923,16526440,21035460,22080371,24480218,9540968,4841479,8236261,5675854,8910848,17960822,14185000,20659000,24574000,25538000,34098000,31816000,23678000,68488000
74,Depreciation and Amortization,1700000,2700000,4000000,4100000,4300000,4600000,7919120,10275198,10264757,10499828,10976921,9801578,8516129,8597651,8286724,9911696,12501048,13281396,13379538,16650604,16637932,17824000,15933000,14835000,15132000,14617000,14875000,17324000,38428000
75,Deferred Income Tax,700000,-300000,1100000,- -,400000,- -,-324283,1046666,1306714,189516,277842,1081656,-766817,-1343380,-1542439,-55078,1919523,-731947,-2377510,-240303,795038,336000,-241000,798000,3810000,-483000,1344000,15774000,6527000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2048771,1741084,1619652,1367967,1220345,1226000,1544000,1681000,7091000,5468000,8203000,3855000,4060000
77,Change in Working Capital,100000,-3400000,1900000,2000000,800000,1500000,-8603812,1708989,1470893,281282,477845,10381855,-657751,21178697,613251,-34996025,8393747,-2352154,2874017,4202169,1363769,-1924772,-44352000,43431000,2327000,-19382000,12454000,-35978000,9245000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-922000,- -,-1992000,92000,1093000,1563000,-5390000
79,Inventory,- -,-100000,- -,- -,-200000,100000,-709238,357317,123144,-17118,-252708,-206728,-3756,-15214,-24379,-68301,-142520,-176949,-281293,-124693,-292343,-171000,-35000,-216000,-238000,-357000,-3043000,-1088000,664000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1229408,1232485,-1523100,-898473,604000,-733000,-1186000,1973000,-431000,2998000,5855000,-5382000,6920000
81,Other Working Capital,-2000000,-5400000,-3500000,-1500000,-700000,800000,-7803812,-6094823,-4623930,-4342648,-3864803,6517052,5859301,27037998,27651249,-7344776,1048971,-1303183,1570834,5773003,7136772,5212000,-39140000,4291000,6618000,-12764000,-310000,-36288000,- -
82,Other Non-Cash Items,400000,3900000,-1500000,-1600000,600000,-1300000,12724774,-1543768,-2936950,424296,1062528,-12058207,2886420,-15291078,-1698977,38600181,-3621823,5804359,1391716,-4841806,-1890633,-401228,44698000,-41591000,-4444000,24438000,-5446000,6791000,1355000
83,Cash Provided by Operating Activities,3400000,2200000,7100000,5300000,9600000,8600000,11130934,12447166,14707178,19998268,22401059,25733322,31013441,35222261,30138777,23001742,26082745,25978999,22563267,26049479,36087273,31245000,38241000,43728000,49454000,58756000,63246000,31444000,128103000
84,CAPEX,-5200000,-26500000,-1700000,-1600000,-1900000,-26100000,- -,-2264401,-3383643,-4802525,-7996678,-9149964,-6113220,-5795089,-17287483,-67881958,-15845321,-6814562,-13591843,-10328915,-12400465,-21719000,-37676000,-26121000,-49990000,-137074000,-125367000,-88667000,-46928000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,100000,200000,- -,-38258270,-521056,171948,-98502,154869,38954,41636,38280,1977991,3475750,-5320947,16000,-3798500,266995,48190,1874000,-349000,1227000,3304000,11329000,-9552000,42274000,9142000
89,Cash Used for Investing Activites,-5200000,-26500000,-1700000,-1500000,-1700000,-26100000,-38258270,-2785457,-3211695,-4901027,-7841809,-9111010,-6071584,-5756809,-15309492,-64406208,-21166268,-6798562,-17390343,-77061920,-12352275,-19845000,-38025000,-24894000,-46686000,-125745000,-134919000,-46393000,-37786000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14022737,-21200000,-19100000,-21340000,-27300000,-7500000,-5400000,-14700000,- -,- -,-3750000,-24563000,-92500000
91,Common Stock Issued,16700000,- -,- -,- -,- -,- -,- -,- -,- -,126116,122092,265747,429859,2213489,602636,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-300000,-100000,- -,- -,- -,- -,- -,-1427400,- -,- -,- -,-13874045,-35674454,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-14900000,25500000,-4100000,-3200000,-6200000,16900000,28575700,-9245218,-9893738,-13647616,-13504116,-14784591,-24300000,-7580248,292757,50000000,11769683,1399844,13709131,77812995,3851329,-1647000,4765000,1085000,- -,68300000,105500000,7283000,7399000
95,Cash Used/Provided by Financing Activities,1800000,25500000,-4100000,-3500000,-6300000,16900000,28575700,-9245218,-9893738,-13521500,-14809424,-14518844,-23870141,-5366759,-12978652,14325546,-2253054,-19800156,-5390869,56472995,-23448671,-9147000,-635000,-13615000,- -,68300000,101750000,-17280000,-85101000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,1448364,416491,1601745,1575741,-250174,2103468,1071716,24098693,1850633,-27078920,2663423,-619719,-217945,5460554,286327,2253000,-419000,5219000,2768000,1311000,30077000,-32229000,5216000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,6367507,6783998,8385743,9961484,9711310,11814778,12886494,36985187,38835820,11756900,14420323,13800604,13582659,19043213,19329540,21583000,21164000,26383000,29151000,30462000,60539000,28310000,33526000
99,Cash at the Beginning of Period,1000000,1100000,2300000,3600000,4000000,5500000,4919143,6367507,6783998,8385743,9961484,9711310,11814778,12886494,36985187,38835820,11756900,14420323,13800604,13582659,19043213,19330000,21583000,21164000,26383000,29151000,30462000,60539000,28310000
100,Free Cash Flow,-1800000,-24300000,5400000,3700000,7700000,-17500000,11130934,10182765,11323535,15195743,14404381,16583358,24900221,29427172,12851294,-44880216,10237424,19164437,8971424,15720564,23686808,9526000,565000,17607000,-536000,-78318000,-62121000,-57223000,81175000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/907242/000090724208000010/0000907242-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465909017808/0001104659-09-017808-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465910014318/0001104659-10-014318-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465911014476/0001104659-11-014476-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465912018162/0001104659-12-018162-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465913021105/0001104659-13-021105-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465914019644/0001104659-14-019644-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465915019514/0001104659-15-019514-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000110465916104448/0001104659-16-104448-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837017001767/0001558370-17-001767-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837018002048/0001558370-18-002048-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837019002010/0001558370-19-002010-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837020002525/0001558370-20-002525-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837021002943/0001558370-21-002943-index.htm,https://www.sec.gov/Archives/edgar/data/907242/000155837022002306/0001558370-22-002306-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
