,https://roic.ai/company/MOS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1085600000,1221700000,1105700000,1131200000,1058500000,897100000,1441500000,1924000000,2981000000,2988600000,2696200000,2369300000,2095900000,1958700000,2057400000,2190600000,- -,4396700000,5305800000,5773700000,9812600000,10298000000,6759100000,9937800000,11107800000,9974100000,9055800000,8895300000,7162800000,7409400000,9587300000,8906300000,8681700000,12357400000
2,COGS,744600000,786300000,783200000,800100000,745700000,710700000,1111500000,1341100000,2061500000,2066800000,1706100000,1594100000,1592200000,1769800000,1794400000,2009400000,- -,3871200000,4668400000,4847600000,6652100000,7531300000,5065800000,6816000000,8022800000,7213900000,7129200000,7177400000,6352800000,6566600000,8088900000,8009000000,7616800000,9157100000
3,Gross Profit,341000000,435400000,322500000,331100000,312800000,186400000,330000000,582900000,919500000,921800000,990100000,775200000,503700000,188900000,263000000,181200000,- -,525500000,637400000,926100000,3160500000,2766700000,1693300000,3121800000,3085000000,2760200000,1926600000,1717900000,810000000,842800000,1498400000,897300000,1064900000,3200300000
4,Gross Profit Ratio,0.3141,0.3564,0.2917,0.2927,0.2955,0.2078,0.2289,0.3030,0.3085,0.3084,0.3672,0.3272,0.2403,0.0964,0.1278,0.0827,- -,0.1195,0.1201,0.1604,0.3221,0.2687,0.2505,0.3141,0.2777,0.2767,0.2127,0.1931,0.1131,0.1137,0.1563,0.1007,0.1227,0.2590
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241300000,309800000,335500000,321400000,360300000,372500000,410100000,427300000,- -,361200000,304200000,301300000,341100000,354100000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",54300000,69800000,61700000,65100000,68100000,251300000,66000000,75200000,223400000,435600000,190400000,164500000,102700000,81800000,80700000,79600000,- -,207000000,241300000,309800000,335500000,321400000,360300000,372500000,410100000,427300000,382400000,361200000,304200000,301300000,341100000,354100000,371500000,430500000
9,Other Expenses,78500000,99700000,92500000,90200000,83300000,61500000,122400000,134400000,168600000,183200000,251700000,232500000,171600000,- -,- -,-31300000,- -,- -,2700000,2100000,- -,44400000,62200000,85100000,- -,123300000,123400000,77900000,186800000,75800000,229000000,176000000,280500000,143200000
10,Operating Expenses,132800000,169500000,154200000,155300000,151400000,312800000,188400000,209600000,392000000,618800000,442100000,397000000,274300000,81800000,80700000,48300000,- -,207000000,244000000,311900000,335500000,365800000,422500000,457600000,410100000,550600000,505800000,439100000,491000000,377100000,570100000,530100000,652000000,573700000
11,COGS and Expenses,877400000,955800000,937400000,955400000,897100000,1023500000,1299900000,1550700000,2453500000,2685600000,2148200000,1991100000,1866500000,1851600000,1875100000,2057700000,- -,4078200000,4912400000,5159500000,6987600000,7897100000,5488300000,7273600000,8432900000,7764500000,7635000000,7616500000,6843800000,6943700000,8659000000,8539100000,8268800000,9730800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46900000,16100000,22500000,20100000,18800000,21300000,35800000,28200000,33200000,49700000,33100000,33500000,25200000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90200000,65700000,27600000,1400000,- -,128900000,133600000,140600000,171300000,215800000,216000000,214100000,194300000
14,Depreciation and Amortization,78500000,99700000,92500000,90200000,83300000,61500000,122400000,134400000,168600000,183200000,251700000,232500000,171600000,165600000,173700000,171900000,- -,180700000,270200000,313300000,356500000,359700000,- -,- -,- -,- -,750900000,- -,- -,- -,- -,- -,847600000,812900000
15,EBITDA,269400000,314600000,220100000,243000000,59200000,-162900000,105000000,329400000,407000000,289600000,327200000,-395400000,-126600000,96300000,93600000,- -,- -,444600000,154100000,856400000,3154200000,3449400000,1240100000,3295000000,2643000000,2229700000,2093100000,1233100000,364200000,559000000,762900000,-1076100000,1149300000,3235500000
16,EBITDA ratio,0.2482,0.2575,0.1991,0.2148,0.0559,-0.1816,0.0728,0.1712,0.1365,0.0969,0.1214,-0.1669,-0.0604,0.0492,0.0455,- -,- -,0.1011,0.0290,0.1483,0.3214,0.3350,0.1835,0.3316,0.2379,0.2235,0.2311,0.1386,0.0508,0.0754,0.0796,-0.1208,0.1324,0.2618
17,Operating Income,208200000,265900000,168300000,175800000,161400000,-126400000,141600000,373300000,527500000,303000000,548000000,378200000,229400000,96100000,182300000,126400000,- -,318500000,105800000,616300000,2806700000,2400900000,1270800000,2664200000,2611100000,2209600000,1311800000,1278800000,319000000,465700000,928300000,-1094900000,412900000,2468500000
18,Operating Income ratio,0.1918,0.2176,0.1522,0.1554,0.1525,-0.1409,0.0982,0.1940,0.1770,0.1014,0.2032,0.1596,0.1095,0.0491,0.0886,0.0577,- -,0.0724,0.0199,0.1067,0.2860,0.2331,0.1880,0.2681,0.2351,0.2215,0.1449,0.1438,0.0445,0.0629,0.0968,-0.1229,0.0476,0.1998
19,Total Other Income Expenses (Gains),-17300000,-51000000,-40700000,-23000000,-20000000,-50900000,-133800000,-165900000,-289100000,-171700000,-406400000,-843900000,-98300000,-126800000,-165400000,-200500000,- -,-103600000,-265900000,-110600000,-124300000,504800000,-81100000,607100000,17800000,4900000,-94500000,-175500000,-76600000,-91700000,-376800000,-161200000,-232000000,-243700000
20,Income Before Tax,190900000,214900000,127600000,152800000,141400000,-177300000,7800000,207400000,238400000,131300000,141600000,-465700000,131100000,-30700000,16900000,-74100000,- -,214900000,-160100000,505700000,2682400000,2905700000,1189700000,3271300000,2628900000,2214500000,1217300000,1103300000,242400000,374000000,551500000,-1256100000,180900000,2224800000
21,Income Before Tax Ratio,0.1758,0.1759,0.1154,0.1351,0.1336,-0.1976,0.0054,0.1078,0.0800,0.0439,0.0525,-0.1966,0.0626,-0.0157,0.0082,-0.0338,- -,0.0489,-0.0302,0.0876,0.2734,0.2822,0.1760,0.3292,0.2367,0.2220,0.1344,0.1240,0.0338,0.0505,0.0575,-0.1410,0.0208,0.1800
22,Income Tax expense (Gain),79200000,77600000,45000000,57000000,50500000,-57300000,11400000,80300000,94100000,43500000,84500000,145400000,46800000,-2800000,30100000,-36500000,- -,98300000,5300000,123400000,714900000,649300000,347300000,752800000,711400000,341000000,184700000,99100000,-74200000,494900000,77100000,-224700000,-578500000,597700000
23,Net Income,111700000,137300000,82600000,95800000,-74600000,-167100000,-28800000,114700000,144300000,62900000,-9000000,-773300000,-345000000,-66500000,-110200000,-135400000,- -,165600000,-121400000,419700000,2082800000,2350200000,827100000,2514600000,1930200000,1888700000,1028600000,1000400000,297800000,-107200000,470000000,-1067400000,666100000,1630600000
24,Net Income ratio,0.1029,0.1124,0.0747,0.0847,-0.0705,-0.1863,-0.0200,0.0596,0.0484,0.0210,-0.0033,-0.3264,-0.1646,-0.0340,-0.0536,-0.0618,- -,0.0377,-0.0229,0.0727,0.2123,0.2282,0.1224,0.2530,0.1738,0.1894,0.1136,0.1125,0.0416,-0.0145,0.0490,-0.1198,0.0767,0.1320
25,EPS,1.94,2.64,1.57,1.93,-1.69,-3.79,-0.57,1.94,1.56,0.67,-0.08,-6.75,-3.00,-0.57,-0.97,-1.22,- -,0.48,-0.35,0.97,4.70,5.29,1.86,5.64,4.54,4.44,2.69,2.79,0.85,-0.31,1.22,-2.78,1.76,4.28
26,EPS Diluted,1.94,2.64,1.57,1.93,-1.69,-3.79,-0.57,1.94,1.56,0.67,-0.08,-6.75,-3.00,-0.57,-0.97,-1.22,- -,0.46,-0.35,0.95,4.67,5.27,1.85,5.62,4.42,4.42,2.68,2.78,0.85,-0.31,1.22,-2.78,1.75,4.25
27,Weighted Average Shares Outstanding,50206186,52007576,52611465,49637306,44142012,44089710,50526316,59123711,92500000,93880597,112500000,114562963,114400000,114500000,114600000,114800000,- -,327800000,382200000,434300000,442700000,444200000,445100000,446000000,425470377,425817089,374100000,358500000,350400000,350900000,384800000,383800000,379000000,379800000
28,Weighted Average Shares Outstanding Diluted,50206186,52007576,52611465,49637306,44142012,44089710,50526316,59123711,92500000,93880597,112500000,114562963,114800000,114500000,114600000,114800000,- -,360400000,382200000,440300000,445700000,446200000,446600000,447500000,436500000,426900000,375600000,360300000,351700000,350900000,386400000,383800000,381300000,383200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1285785/000119312506170786/d10k.htm,https://www.sec.gov/Archives/edgar/data/1285785/000119312507177117/0001193125-07-177117-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312508159285/0001193125-08-159285-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312509154839/0001193125-09-154839-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312510164140/0001193125-10-164140-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312511191456/0001193125-11-191456-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312512304472/0001193125-12-304472-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000119312513292097/0001193125-13-292097-index.html,- -,https://www.sec.gov/Archives/edgar/data/1285785/000161803416000025/0001618034-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803417000005/0001618034-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803418000003/0001618034-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803419000004/0001618034-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803420000003/0001618034-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1285785/000161803421000003/0001618034-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803422000004/0001618034-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,76800000,- -,245000000,173300000,420600000,1960700000,2703200000,2523000000,3906400000,3811000000,3697100000,2374600000,1276300000,673100000,2153500000,847700000,519100000,574000000,769500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,76800000,- -,245000000,173300000,420600000,1960700000,2703200000,2922600000,3906400000,3811000000,3697100000,2374600000,1276300000,673100000,2153500000,847700000,519100000,574000000,769500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179000000,194800000,- -,671700000,505800000,557000000,1039200000,597600000,705900000,986400000,965600000,1420400000,1006200000,1100000000,805700000,783900000,987700000,983400000,1062500000,1658000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349100000,305700000,- -,753400000,760900000,787400000,1350900000,1125900000,1002300000,1266400000,1237600000,1557300000,1718300000,1563500000,1391100000,1547200000,2270200000,2076400000,1739200000,2741400000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154200000,62300000,- -,61800000,140400000,190500000,458700000,881100000,344000000,525700000,566900000,205700000,265100000,204900000,187800000,131900000,131400000,139300000,145500000,156400000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000000,639600000,- -,1731900000,1580400000,1955500000,4809500000,5307800000,4974800000,6684900000,6581100000,6880500000,5364200000,4144700000,3057700000,4616500000,4237000000,3718200000,3521200000,5325300000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300700000,2357800000,- -,4121400000,4416600000,4449400000,4648000000,4899300000,5465600000,6635900000,7545900000,8486800000,9313900000,8721000000,9198500000,9711700000,11746500000,11882100000,12027400000,12595500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000000,- -,- -,- -,2347100000,2283800000,1875200000,1734100000,1763200000,1829800000,1844400000,1844600000,1806500000,1595300000,1630900000,1693600000,1707500000,1156900000,1173000000,1172200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289000000,- -,2160300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000000,289000000,- -,2160300000,2347100000,2283800000,1875200000,1734100000,1763200000,1829800000,1844400000,1844600000,1806500000,1595300000,1630900000,1693600000,1707500000,1156900000,1173000000,1172200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357800000,54700000,434300000,454200000,431500000,849800000,980500000,1063100000,1089500000,826600000,763600000,673100000,691800000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,262300000,305900000,6500000,50600000,212700000,394400000,691900000,836400000,254600000,343800000,515400000,1179400000,997100000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317400000,384300000,- -,430400000,376500000,474900000,477000000,114900000,143500000,195500000,214200000,229900000,554200000,1279000000,1054100000,1267500000,1257800000,1262300000,1215700000,1254500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2937100000,3031100000,- -,6712100000,7140200000,7208100000,7010300000,7368400000,7732900000,9102000000,10109300000,11205500000,12918800000,13267700000,13783000000,14016900000,15882200000,15580300000,16268600000,16711100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3637100000,3670700000,- -,8444000000,8720600000,9163600000,11819800000,12676200000,12707700000,15786900000,16690400000,18086000000,18283000000,17412400000,16840700000,18633400000,20119200000,19298500000,19789800000,22036400000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154800000,185700000,- -,462700000,420200000,433500000,1022100000,383600000,552500000,941100000,912400000,763100000,797300000,520600000,471800000,540900000,780900000,680400000,769100000,1260700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204900000,222100000,542400000,176400000,136000000,98300000,71600000,43000000,69600000,54500000,68500000,38900000,349600000,37500000,88800000,568300000,959100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48700000,- -,- -,- -,- -,- -,83100000,184300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65900000,243200000,323000000,243300000,101600000,121200000,145600000,140400000,199800000,266900000,287600000,437700000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296700000,268300000,- -,439700000,483800000,653800000,987600000,1102200000,587200000,672600000,639300000,688900000,647000000,1338000000,820500000,1000200000,1465500000,1555600000,1521500000,2129900000
